disease,cell_group,gene,evidence_tier,n_donors,total_nuclei,mean_expression,median_expression,mean_percent_expressing
CIAP,Epineurial_stroma,TMEM175,Inflammatory_polyneuropathy,11,13819,0.1447584042006157,0.1544691703121549,7.856153030543575
CIAP,Granulocyte,CDH4,CIDP,8,201,0.0029551131624906,0.0,0.1106194690265486
CIAP,Granulocyte,DCTN1,Inflammatory_polyneuropathy,8,201,0.1249495787439606,0.0181854656631802,7.66425888107304
CIAP,Granulocyte,DGKQ,Inflammatory_polyneuropathy,8,201,0.0046366107322761,0.0,0.1106194690265486
CIAP,Granulocyte,DIRAS1,CIDP,8,201,0.0,0.0,0.0
CIAP,Granulocyte,GLDC,Inflammatory_polyneuropathy,8,201,0.116235192317343,0.0,2.5
CIAP,Granulocyte,GNG7,CIDP,8,201,0.1391532100121969,0.0,3.769571136827774
CIAP,Granulocyte,IDUA,Inflammatory_polyneuropathy,8,201,0.0,0.0,0.0
CIAP,Granulocyte,ME1,Inflammatory_polyneuropathy,8,201,0.0527701168940937,0.0,1.2372992461488037
CIAP,Granulocyte,SLAMF9,Inflammatory_polyneuropathy,8,201,0.0,0.0,0.0
CIAP,Granulocyte,SLC39A3,CIDP,8,201,0.0,0.0,0.0
CIAP,Granulocyte,TMEM175,Inflammatory_polyneuropathy,8,201,0.0091552358205891,0.0,0.3421009505080301
CIAP,Macrophage,CDH4,CIDP,11,3974,0.0179061611518751,0.0097909020847684,0.8928211183049494
CIAP,Macrophage,DCTN1,Inflammatory_polyneuropathy,11,3974,0.0705860017715464,0.071954722741586,3.9860537636115536
CIAP,Macrophage,DGKQ,Inflammatory_polyneuropathy,11,3974,0.0588664238795266,0.0589145188626679,2.594541995006037
CIAP,Macrophage,DIRAS1,CIDP,11,3974,0.0003551201413369,0.0,0.026198585276395
CIAP,Macrophage,GLDC,Inflammatory_polyneuropathy,11,3974,0.0090794971154642,0.0059962021617105,0.4116631730228109
CIAP,Macrophage,GNG7,CIDP,11,3974,0.4650636924148341,0.4517091039755751,17.444473338082602
CIAP,Macrophage,IDUA,Inflammatory_polyneuropathy,11,3974,0.0814346377445174,0.080219042049312,3.675476061768147
CIAP,Macrophage,ME1,Inflammatory_polyneuropathy,11,3974,1.2332943855245435,1.312653689037091,35.72255557090651
CIAP,Macrophage,SLAMF9,Inflammatory_polyneuropathy,11,3974,0.0009403608643523,0.0,0.0999121651295564
CIAP,Macrophage,SLC39A3,CIDP,11,3974,0.011518527755421,0.0130475097461479,0.6227613139527972
CIAP,Macrophage,TMEM175,Inflammatory_polyneuropathy,11,3974,0.1500150909952984,0.1449393605307644,6.783662602755782
CIAP,Mast,CDH4,CIDP,11,444,0.0504419762510042,0.0257151948944364,1.9665441993138533
CIAP,Mast,DCTN1,Inflammatory_polyneuropathy,11,444,0.0729134085108859,0.0707590918382336,4.094344682038123
CIAP,Mast,DGKQ,Inflammatory_polyneuropathy,11,444,0.0496748321606601,0.0359173142026031,2.0296746877774545
CIAP,Mast,DIRAS1,CIDP,11,444,0.0,0.0,0.0
CIAP,Mast,GLDC,Inflammatory_polyneuropathy,11,444,0.0143371919724861,0.0,0.6818181818181818
CIAP,Mast,GNG7,CIDP,11,444,0.1967796074666205,0.2005606269818671,8.490526328407526
CIAP,Mast,IDUA,Inflammatory_polyneuropathy,11,444,0.0375249298984901,0.0,1.8956504628441384
CIAP,Mast,ME1,Inflammatory_polyneuropathy,11,444,0.0671826864012926,0.0589762332253859,2.987884128672809
CIAP,Mast,SLAMF9,Inflammatory_polyneuropathy,11,444,0.0,0.0,0.0
CIAP,Mast,SLC39A3,CIDP,11,444,0.0090882001990344,0.0,0.4407713498622589
CIAP,Mast,TMEM175,Inflammatory_polyneuropathy,11,444,0.0778960557925184,0.0464936590621266,3.453163640478749
CIAP,Myelinating_SC,CDH4,CIDP,10,2365,0.1958949339796237,0.1526096897079826,9.710570710740145
CIAP,Myelinating_SC,DCTN1,Inflammatory_polyneuropathy,10,2365,0.1397212666345654,0.1280674397948748,8.778772133911383
CIAP,Myelinating_SC,DGKQ,Inflammatory_polyneuropathy,10,2365,0.0370527448162353,0.0397656061997646,2.5277137201178905
CIAP,Myelinating_SC,DIRAS1,CIDP,10,2365,0.0004342966051063,0.0,0.0347222222222222
CIAP,Myelinating_SC,GLDC,Inflammatory_polyneuropathy,10,2365,1.5867443248859452,1.583483947212017,54.94974543837179
CIAP,Myelinating_SC,GNG7,CIDP,10,2365,0.055708913337747,0.0506447894719368,3.267148937063181
CIAP,Myelinating_SC,IDUA,Inflammatory_polyneuropathy,10,2365,0.0860283846416251,0.059755508587424,5.731419786156215
CIAP,Myelinating_SC,ME1,Inflammatory_polyneuropathy,10,2365,0.6051073359814179,0.6490376581921933,25.180915626781648
CIAP,Myelinating_SC,SLAMF9,Inflammatory_polyneuropathy,10,2365,0.0,0.0,0.0
CIAP,Myelinating_SC,SLC39A3,CIDP,10,2365,0.0154736204410004,0.0147509043842024,0.8661394053835915
CIAP,Myelinating_SC,TMEM175,Inflammatory_polyneuropathy,10,2365,0.1565700867902474,0.1700441354896402,8.894030827142753
CIAP,Nonmyelinating_SC,CDH4,CIDP,11,18231,0.1954410829079067,0.1749131882581864,7.33024335174415
CIAP,Nonmyelinating_SC,DCTN1,Inflammatory_polyneuropathy,11,18231,0.1293681650516249,0.1334162227625484,6.171358962595186
CIAP,Nonmyelinating_SC,DGKQ,Inflammatory_polyneuropathy,11,18231,0.0137206032586884,0.0136025879815409,0.6621820779493434
CIAP,Nonmyelinating_SC,DIRAS1,CIDP,11,18231,0.001543727326826,0.0010157391613239,0.0725603580297717
CIAP,Nonmyelinating_SC,GLDC,Inflammatory_polyneuropathy,11,18231,0.0239373554975902,0.0211744566137372,1.0979755324880565
CIAP,Nonmyelinating_SC,GNG7,CIDP,11,18231,0.1179143777469115,0.1045395856321095,4.916311966756799
CIAP,Nonmyelinating_SC,IDUA,Inflammatory_polyneuropathy,11,18231,0.036182666042289,0.0381800578552432,1.6823673803188726
CIAP,Nonmyelinating_SC,ME1,Inflammatory_polyneuropathy,11,18231,0.0293806439401212,0.0232418006005195,1.4751480787488518
CIAP,Nonmyelinating_SC,SLAMF9,Inflammatory_polyneuropathy,11,18231,4.818346039928846e-05,0.0,0.0025085289985952
CIAP,Nonmyelinating_SC,SLC39A3,CIDP,11,18231,0.0095074307052667,0.0114325067431557,0.5045977300943671
CIAP,Nonmyelinating_SC,TMEM175,Inflammatory_polyneuropathy,11,18231,0.1052983814269378,0.1039824761716045,4.7851938583315885
CIAP,Other_EC,CDH4,CIDP,11,11996,0.0154609513246831,0.0108575729537048,0.780109666470358
CIAP,Other_EC,DCTN1,Inflammatory_polyneuropathy,11,11996,0.1489827685801551,0.1426948590706424,8.510717956348891
CIAP,Other_EC,DGKQ,Inflammatory_polyneuropathy,11,11996,0.0517081048425389,0.0476939926006349,2.8362771757405203
CIAP,Other_EC,DIRAS1,CIDP,11,11996,0.0003736104186616,0.0,0.0210247222688618
CIAP,Other_EC,GLDC,Inflammatory_polyneuropathy,11,11996,0.023027459429448,0.022724944877639,1.2220551012108387
