type,n_analyses,delta_min,delta_max,p_min,p_max
center,3,-0.7287106695132884,-0.5296421023791016,0.0031080031080031,0.0239760239760239
donor,20,-0.7345090888849186,-0.5788026484412595,0.000317535921251,0.0016693366427425
gene,11,-0.8274866017062203,-0.5764616398624013,0.0004744330871815,0.0049383556786442
