cell_group,program,model,delta,se,ci_low,ci_high,p_hc3,residual_df,estimable,q_bh_9_hc3
BNB_EC,Endothelial junctions,Age and centre,-0.47323042632351825,0.518745450069652,-1.5789101801356795,0.6324493274886429,0.37606125894804,15,True,0.676910266106472
BNB_EC,Endothelial transport,Age and centre,-0.6154494007089235,0.3907893344941953,-1.4483971501261834,0.2174983487083363,0.136134439847154,15,True,0.6007192271937951
BNB_EC,Inflammatory adhesion,Age and centre,0.09143489489113782,0.6689112395140826,-1.33431566259098,1.5171854523732557,0.8930919339787139,15,True,0.8930919339787139
Myelinating_SC,Myelin maintenance,Age and centre,-0.28956017837635123,0.5794667930499601,-1.5323928422003266,0.953272485447624,0.6250470981833732,14,True,0.8036319833786226
Myelinating_SC,Injury response,Age and centre,0.6187295990038967,0.5351841114282925,-0.5291261587726236,1.7665853567804168,0.26698632319724225,14,True,0.6007192271937951
Nonmyelinating_SC,Myelin maintenance,Age and centre,0.27506248922042975,0.4057317304641634,-0.5897342232965928,1.1398592017374523,0.5081321466984593,15,True,0.762198220047689
Nonmyelinating_SC,Injury response,Age and centre,0.13919105311284846,0.6168735361747382,-1.1756437652346492,1.454025871460346,0.8245272850035871,15,True,0.8930919339787139
Repair_damage_SC,Myelin maintenance,Age and centre,0.5172534986126387,0.4194108324767952,-0.3822932716521158,1.416800268877393,0.23777563809425895,14,True,0.6007192271937951
Repair_damage_SC,Injury response,Age and centre,-0.43456043644358283,0.30301654625358265,-1.0844662910670964,0.21534541817993075,0.1734972613087672,14,True,0.6007192271937951
