cell_group,program,genes_planned,genes_used,n_case,n_reference,mean_case,mean_reference,p_mannwhitney,delta,se,ci_low,ci_high,p_hc3,residual_df,estimable,q_bh_9,q_bh_89
BNB_EC,Endothelial junctions,4,4,9,11,-0.16845658714219663,0.13782811675270476,0.40331756510948324,-0.30628470389490137,0.31352585003936523,-0.9649780724279103,0.3524086646381076,0.3415642269342091,18,True,0.9394400080349974,1.0
BNB_EC,Endothelial transport,3,3,9,11,-0.32605607972609446,0.26677315613953023,0.027577991563328515,-0.5928292358656246,0.2553651445816864,-1.129331496426629,-0.056326975304620275,0.032194275623494126,18,True,0.24820192406995664,0.4246335748843431
BNB_EC,Inflammatory adhesion,4,4,9,11,-0.024603560849431938,0.020130186149534778,0.8792283946861903,-0.044733746998966664,0.3710852746907841,-0.824354979405735,0.7348874854078016,0.9053841376719536,18,True,0.9394400080349974,1.0
Myelinating_SC,Myelin maintenance,6,6,9,10,-0.1227486167596769,0.11047375508371098,0.7750513736700824,-0.2332223718433878,0.3050297112178682,-0.8767788082728438,0.41033406458606825,0.4549994648422213,17,True,0.9394400080349974,1.0
Myelinating_SC,Injury response,6,6,9,10,0.07192929854643168,-0.06473636869178913,0.7750513736700824,0.13666566723822077,0.3266740366222557,-0.5525563041011052,0.8258876385775469,0.6809250179575846,17,True,0.9394400080349974,1.0
Nonmyelinating_SC,Myelin maintenance,6,6,9,11,0.03541368662147907,-0.028974834508481297,0.9394400080349974,0.06438852112996044,0.3310692622559469,-0.6311621887898989,0.7599392310498198,0.8479731162824377,18,True,0.9394400080349974,1.0
Nonmyelinating_SC,Injury response,6,6,9,11,-0.014525308014884608,0.011884342921268238,0.8792283946861903,-0.02640965093615283,0.3691300984502264,-0.8019232104865777,0.7491039086142721,0.9437524554505059,18,True,0.9394400080349974,1.0
Repair_damage_SC,Myelin maintenance,6,6,9,10,0.19767708266712178,-0.17790937440040894,0.17790959498698244,0.3755864570675307,0.2616483464591981,-0.17644330020641397,0.9276162143414753,0.16929959322022556,17,True,0.800593177441421,0.7916976976920719
Repair_damage_SC,Injury response,6,6,9,10,-0.1318953945062754,0.1187058550556485,0.6533789106936937,-0.25060124956192387,0.3360230580539463,-0.9595479319553283,0.45834543283148055,0.4659847539773848,17,True,0.9394400080349974,1.0
