cell_group,program,gene,disease,n_donors,mean_log2_cpm,sd_log2_cpm,detected_donors
Nonmyelinating_SC,Myelin maintenance,MAG,CIAP,11,2.962878000388941,1.6610191541085626,10
Nonmyelinating_SC,Injury response,NGFR,CIDP,9,4.949628617087427,1.8490395064007399,9
Nonmyelinating_SC,Injury response,NGFR,CIAP,11,5.1793935220038785,0.7315109881753243,11
Nonmyelinating_SC,Injury response,ATF3,CIDP,9,3.369625578754856,0.6800291662366935,9
Nonmyelinating_SC,Injury response,ATF3,CIAP,11,3.1385608240917677,0.4579948611094459,11
Nonmyelinating_SC,Injury response,JUN,CIDP,9,5.558036522332788,1.1827073340094982,9
Nonmyelinating_SC,Injury response,JUN,CIAP,11,5.8286639541494765,0.9294296073742899,11
Nonmyelinating_SC,Injury response,FOS,CIDP,9,4.560025535724379,2.0362232013683923,9
Nonmyelinating_SC,Injury response,FOS,CIAP,11,4.521175339917027,1.1388724341152898,11
Nonmyelinating_SC,Injury response,GDNF,CIDP,9,1.1600315842374145,1.2153343629306799,8
Nonmyelinating_SC,Injury response,GDNF,CIAP,11,0.9621649228308656,1.2294530511006498,9
Nonmyelinating_SC,Injury response,RUNX2,CIDP,9,7.757587903911889,0.4213518997731669,9
Nonmyelinating_SC,Injury response,RUNX2,CIAP,11,7.915408004265708,0.5518746760435791,11
Repair_damage_SC,Myelin maintenance,MPZ,CIDP,9,7.264382122588663,1.0801414302446775,9
Repair_damage_SC,Myelin maintenance,MPZ,CIAP,10,6.829758255963114,1.071364729650213,10
Repair_damage_SC,Myelin maintenance,MBP,CIDP,9,7.980717423232933,0.44768556492577255,9
Repair_damage_SC,Myelin maintenance,MBP,CIAP,10,8.096264389413182,0.48869554381350183,10
Repair_damage_SC,Myelin maintenance,PRX,CIDP,9,3.7432159952299235,1.9211581202337276,8
Repair_damage_SC,Myelin maintenance,PRX,CIAP,10,2.7139376870012812,1.454915444624837,9
Repair_damage_SC,Myelin maintenance,EGR2,CIDP,9,1.5626939336181387,2.283787235000947,6
Repair_damage_SC,Myelin maintenance,EGR2,CIAP,10,1.7222860407884917,1.4714461954836604,8
Repair_damage_SC,Myelin maintenance,PMP22,CIDP,9,8.886382106794818,0.5297046431318558,9
Repair_damage_SC,Myelin maintenance,PMP22,CIAP,10,8.753562087622333,0.2978124846212127,10
Repair_damage_SC,Myelin maintenance,MAG,CIDP,9,1.8517845089964875,1.1947734077328847,8
Repair_damage_SC,Myelin maintenance,MAG,CIAP,10,-0.10204986055608659,1.2093630029276747,4
Repair_damage_SC,Injury response,NGFR,CIDP,9,8.209347087487268,1.116410746082704,9
Repair_damage_SC,Injury response,NGFR,CIAP,10,8.530488223358523,0.6457372402437633,10
Repair_damage_SC,Injury response,ATF3,CIDP,9,6.475685124037067,0.6419654062945368,9
Repair_damage_SC,Injury response,ATF3,CIAP,10,6.6376252283349615,0.7663627988448493,10
Repair_damage_SC,Injury response,JUN,CIDP,9,6.17286945619681,1.1270325748249896,9
Repair_damage_SC,Injury response,JUN,CIAP,10,6.018731738458527,0.46631914323568135,10
Repair_damage_SC,Injury response,FOS,CIDP,9,3.0370776925937646,3.7218966797345554,6
Repair_damage_SC,Injury response,FOS,CIAP,10,3.9542574944468845,1.574864206994537,10
Repair_damage_SC,Injury response,GDNF,CIDP,9,6.38314722237667,1.0022273574238099,9
Repair_damage_SC,Injury response,GDNF,CIAP,10,6.597186003520116,0.7663622049339187,10
Repair_damage_SC,Injury response,RUNX2,CIDP,9,11.596759661716092,0.8072067297133166,9
Repair_damage_SC,Injury response,RUNX2,CIAP,10,11.963113942910997,0.5945542394827374,10
