Program,estimate,low,high,p,tau2,I2,positive_cohorts
CXCL8–CXCR1/2,1.0754220406032644,-0.6339919104447369,2.7848359916512657,0.11367468105833274,0.0,0.0,3
LIF/OSM–gp130,0.27059888773987745,-3.9778567299613763,4.519054505441131,0.8097558572935877,2.3521472412876268,81.20778375594784,1
Complement,1.111222965183466,-1.7275700525338344,3.9500159829007666,0.23417256986930074,0.7461252411908608,57.24296005650375,3
Fc receptor,0.2879382065172237,-5.510022204904894,6.085898617939341,0.8506023424654651,1.719884093375925,72.7064130350303,2
Transendothelial migration,0.6944453044375707,-0.9583258894453182,2.3472164983204595,0.21236328067857077,0.005097756013794222,1.0812499481954347,2
Interferon/JAK–STAT,0.6769628636005248,-0.9434142114459624,2.297339938647012,0.21407255542297532,0.0,0.0,2
Inflammatory monocyte,1.0258324150284037,-1.7020914403430638,3.7537562703998715,0.24706762380051972,0.5235886456532745,49.50919507286133,2
