analysis,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,covariates,p_primary,permutations
All donors,-0.6728671731309643,0.17223334498644813,-1.0347160036774317,-0.3110183425844971,0.001033822565683001,18.0,20,9,11,0.0010874365767340446,-0.41167706667484255,0.26119010645612184,none,0.0010874365767340446,
Male donors,-0.6868612898008715,0.171483872519175,-1.0546576167725918,-0.3190649628291512,0.001302191418749235,14.0,16,9,7,0.0006993006993006993,-0.41167706667484255,0.27518422312602897,none,0.0006993006993006993,
Standardisation in CIDP and CIAP only,-0.6285336831572076,0.16255448656245033,-0.9700479867163252,-0.28701937959809,0.0011304995236335318,18.0,20,9,11,0.0010874365767340446,-0.3456935257364644,0.2828401574207432,none,0.0010874365767340446,
Age and center,-0.6895951189664895,0.16451408721029143,-1.0402485953890466,-0.3389416425439325,0.0007859582828343697,15.0,20,9,11,,,,"age, center",0.0007859582828343697,
"Age, center and sex",-0.718480935043079,0.16729042174948602,-1.0772832046275316,-0.3596786654586263,0.0007409441359815384,14.0,20,9,11,,,,"age, center, sex",0.0007409441359815384,
Exact permutation within centers,-0.543288319681668,,,,,,20,9,11,,,,center,0.004761904761904762,1470.0
