Program,Summary Hedges g,95% CI low,95% CI high,Hartung–Knapp P,Tau²,I² (%),Cohorts,Positive cohorts,Direction concordance,Interpretation
CXCL8–CXCR1/2,1.0754220406032644,-0.6339919104447369,2.7848359916512657,0.1136746810583327,0,0,3,3,1,Directionally consistent
LIF/OSM–gp130,0.2705988877398775,-3.977856729961375,4.51905450544113,0.8097558572935876,2.352147241287625,81.20778375594783,3,1,0.3333333333333333,Mixed directions
Complement,1.111222965183466,-1.7275700525338344,3.950015982900767,0.2341725698693007,0.7461252411908608,57.24296005650375,3,3,1,Directionally consistent
Fc receptor,0.2879382065172235,-5.510022204904895,6.085898617939342,0.8506023424654652,1.7198840933759252,72.7064130350303,3,2,0.6666666666666666,Mixed directions
Transendothelial migration,0.6944453044375707,-0.9583258894453182,2.3472164983204595,0.2123632806785707,0.0050977560137941,1.081249948195413,3,2,0.6666666666666666,Mixed directions
Interferon/JAK–STAT,0.6769628636005247,-0.9434142114459624,2.297339938647012,0.2140725554229754,0,0,3,2,0.6666666666666666,Mixed directions
Inflammatory monocyte,1.0258324150284035,-1.7020914403430638,3.753756270399872,0.2470676238005197,0.5235886456532745,49.50919507286133,3,2,0.6666666666666666,Mixed directions
