Resource,Material,Participants or samples,Analytical role
GSE211225,Whole blood transcriptomics,"6 acute GBS, 10 postacute, 6 controls",Whole blood module differences between GBS and controls
GSE31014,Leukocyte microarray,"7 GBS, 7 controls",Recurrence of blood effects in an independent leukocyte cohort
PRJNA1293757,PBMC transcriptomics,"3 AIDP, 2 controls",Monocyte expression and recurrence of blood effects
PXD002911,CSF proteomics and peptidomics,"GBS (AIDP), MS and controls, with pooled discovery material",Published CSF identifications and functional annotations
GSE285983,Sural nerve nuclear transcriptomics,"9 CIDP, 11 CIAP in the primary comparison and 4 graft reference donors","Donor expression, specific functional gene sets, and the contribution of cell composition"
GSE107574,Human endoneurial endothelial transcriptomics,2 culture conditions and 4 normal nerve preparations,Expression of 11 endothelial genes in normal BNB preparations
Kmezic et al. 2023,CSF Olink proteomics,"Discovery with 6 GBS and 20 controls. Replication with 6 GBS, 6 CIDP, 6 controls and 4 noninflammatory neuropathy cases.",11 paired GBS coefficients and 16 direct disease comparison coefficients from source Tables 3 to 6 [36].
PXD056286,Sural nerve histology and proteomics,55 CIDP biopsies for histology. Proteomics in 9 CIDP cases and 2 controls.,"Published tissue findings, calculated Wilson interval, and assessment of public protein data for independent validation"
