gene,measured_in_spatial
FCGR1A,False
FCGR2A,False
FCGR2B,False
FCGR3A,False
FCGR3B,False
FCGRT,False
FCER1G,False
TYROBP,False
SYK,False
LYN,False
HCK,False
FCGR2C,False
