component,genes,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,q_bh_4
Activating receptors,"FCGR1A, FCGR2A, FCGR3A",-0.3908613831582298,0.20869446878462442,-0.8293121923042426,0.047589425987782985,0.07741836626547972,18,20,9,11,0.06824748837800128,-0.34828459898897296,0.04257678416925695,0.13649497675600256
Inhibitory receptor,FCGR2B,-0.83985658127831,0.5291631445936789,-1.9515870946384255,0.27187393208180544,0.12989127735490405,18,20,9,11,0.17146020606432733,-0.7285792071288714,0.11127737414943863,0.22861360808576978
Neonatal Fc receptor,FCGRT,-0.13533747205440294,0.43280827534763283,-1.0446339169309566,0.7739589728221509,0.7581053479691272,18,20,9,11,0.648503379652976,-0.2837379127484849,-0.148400440694082,0.648503379652976
Signalling components,"FCER1G, TYROBP, SYK, LYN, HCK",-1.0337134887014576,0.3640710507837729,-1.7985983835068005,-0.2688285938961148,0.010878819647172626,18,20,9,11,0.009791512077969673,-0.49254345477548905,0.5411700339259685,0.03916604831187869
