comparison,cell_group,panel,n_case,n_reference,mean_z_case,mean_z_reference,delta_mean_z,p_value,fdr_within_celltype_comparison,q_bh_all_cell_module_tests
CIDP_vs_CIAP,Pericyte,Macrophage_state,9,11,0.2831799272985596,0.12977807338237668,0.15340185391618294,0.5433269342132927,1.0,1.0
CIDP_vs_CIAP,Pericyte,Schwann_myelin_repair,9,11,-0.0075460109194338916,-0.0011011120280798113,-0.00644489889135408,1.0,1.0,1.0
CIDP_vs_CIAP,Perineurium,BNB_identity_integrity,9,11,0.2815973884491039,-0.17294234788635907,0.45453973633546296,0.12864313895307422,0.17014799279939335,0.7443974684973459
CIDP_vs_CIAP,Perineurium,Leukocyte_transmigration,9,11,0.09671743756522298,-0.1683197092541765,0.2650371468193995,0.06824748837800128,0.10919598140480205,0.6066443411377891
CIDP_vs_CIAP,Perineurium,CXCL8_CXCR1_2,9,11,0.0031780442413810606,-0.33379777054617193,0.336975814787553,0.17081554786425535,0.17081554786425535,0.7620453602858992
CIDP_vs_CIAP,Perineurium,LIF_LIFR,9,11,0.0956469020054081,-0.25452128026892057,0.35016818227432867,0.057519400395638395,0.10919598140480205,0.6066443411377891
CIDP_vs_CIAP,Perineurium,Complement,9,11,0.06089155080364613,-0.2866726225746868,0.3475641733783329,0.03339814633921801,0.10919598140480205,0.44530861785624015
CIDP_vs_CIAP,Perineurium,Fc_receptor,9,11,0.23875065034434506,-0.2240042079513778,0.4627548582957228,0.14887949369946918,0.17014799279939335,0.7443974684973459
CIDP_vs_CIAP,Perineurium,Macrophage_state,9,11,0.38059394357170906,-0.3776028017350074,0.7581967453067164,0.022654494080089346,0.10919598140480205,0.44530861785624015
CIDP_vs_CIAP,Perineurium,Schwann_myelin_repair,9,11,0.13980245713637893,-0.22543682795790376,0.3652392850942827,0.06824748837800128,0.10919598140480205,0.6066443411377891
CIDP_vs_CIAP,Endoneurial_stroma,BNB_identity_integrity,9,11,0.42448812451314477,-0.05352997691053689,0.4780181014236817,0.14887949369946918,0.8948234040186371,0.7443974684973459
CIDP_vs_CIAP,Endoneurial_stroma,Leukocyte_transmigration,9,11,0.1982842890924253,0.02423980921227528,0.17404447988015,0.40331756510948324,0.8948234040186371,1.0
CIDP_vs_CIAP,Endoneurial_stroma,CXCL8_CXCR1_2,9,11,-0.0036831905350120067,-0.0355137771766117,0.03183058664159969,1.0,1.0,1.0
CIDP_vs_CIAP,Endoneurial_stroma,LIF_LIFR,9,11,0.014816228012988906,-0.07094553432589404,0.08576176233888294,0.7040429655866594,0.9368086146626152,1.0
CIDP_vs_CIAP,Endoneurial_stroma,Complement,9,11,0.03589336374578524,-0.0920510183616312,0.12794438210741643,0.44741170200931857,0.8948234040186371,1.0
CIDP_vs_CIAP,Endoneurial_stroma,Fc_receptor,9,11,0.1850221638791375,0.0468605233847321,0.1381616404944054,0.5948534237883254,0.9368086146626152,1.0
CIDP_vs_CIAP,Endoneurial_stroma,Macrophage_state,9,11,0.3095241096887317,-0.09026252870843478,0.39978663839716644,0.22414515405220226,0.8948234040186371,0.8965806162088089
CIDP_vs_CIAP,Endoneurial_stroma,Schwann_myelin_repair,9,11,0.04566434389346428,-0.08638471991694831,0.1320490638104126,0.8197075378297883,0.9368086146626152,1.0
CIDP_vs_CIAP,Myelinating_SC,BNB_identity_integrity,9,10,-0.05857957912142448,0.055845405230117204,-0.11442498435154169,0.5402913746074198,0.9580074130123729,1.0
CIDP_vs_CIAP,Myelinating_SC,Leukocyte_transmigration,9,10,0.07453073131236954,-0.009753009644302807,0.08428374095667235,0.6533789106936937,0.9580074130123729,1.0
CIDP_vs_CIAP,Myelinating_SC,CXCL8_CXCR1_2,9,10,-0.010446699293554703,-0.12573556031084088,0.11528886101728618,0.960535300044334,0.960535300044334,1.0
CIDP_vs_CIAP,Myelinating_SC,LIF_LIFR,9,10,0.08471975502262599,-0.12224277457774343,0.20696252960036943,0.5402913746074198,0.9580074130123729,1.0
CIDP_vs_CIAP,Myelinating_SC,Complement,9,10,0.12016539299858033,0.057616705109697505,0.06254868788888282,0.7750513736700824,0.9580074130123729,1.0
CIDP_vs_CIAP,Myelinating_SC,Fc_receptor,9,10,-0.10887740509927243,0.24158049163537623,-0.35045789673464867,0.1309111278962908,0.9580074130123729,0.7443974684973459
CIDP_vs_CIAP,Myelinating_SC,Macrophage_state,9,10,0.1550662113358187,0.02808899851117088,0.1269772128246478,0.7750513736700824,0.9580074130123729,1.0
CIDP_vs_CIAP,Myelinating_SC,Schwann_myelin_repair,9,10,0.11503377357943077,0.11303550157617825,0.0019982720032525186,0.8382564863858263,0.9580074130123729,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,BNB_identity_integrity,9,11,0.007809401389680732,0.06370644602958073,-0.055897044639899994,1.0,1.0,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,Leukocyte_transmigration,9,11,0.00495684692477918,0.024572997023698216,-0.019616150098919035,0.7040429655866594,1.0,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,CXCL8_CXCR1_2,9,11,-0.06666001228260712,-0.199449142710555,0.13278913042794788,0.44569629404751054,1.0,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,LIF_LIFR,9,11,-0.17819935619128704,0.004078372751702919,-0.18227772894298996,0.09463839528709553,0.7571071622967642,0.6309226352473035
CIDP_vs_CIAP,Nonmyelinating_SC,Complement,9,11,0.019276089450357026,0.03430960965892033,-0.015033520208563307,0.8792283946861903,1.0,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,Fc_receptor,9,11,-0.08651263264436924,0.05495479617822025,-0.1414674288225895,0.9394400080349974,1.0,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,Macrophage_state,9,11,-0.035639905378525606,-0.08155586905532454,0.045915963676798933,0.9394400080349974,1.0,1.0
CIDP_vs_CIAP,Nonmyelinating_SC,Schwann_myelin_repair,9,11,0.03775356692045104,0.016379857100766372,0.021373709819684665,0.9394400080349974,1.0,1.0
CIDP_vs_CIAP,Repair_damage_SC,BNB_identity_integrity,9,10,0.26717644254731554,0.08684702404287854,0.180329418504437,0.48766835345893045,0.9025232501776794,1.0
CIDP_vs_CIAP,Repair_damage_SC,Leukocyte_transmigration,9,10,-0.004009654447408246,0.13471334647028424,-0.1387230009176925,0.23644471557230384,0.9025232501776794,0.9007417736087765
CIDP_vs_CIAP,Repair_damage_SC,CXCL8_CXCR1_2,9,10,-0.14000303923874868,0.3093660056823656,-0.4493690449211143,0.257620539316171,0.9025232501776794,0.9368019611497128
CIDP_vs_CIAP,Repair_damage_SC,LIF_LIFR,9,10,0.06158143733658745,-0.0050128149222386734,0.06659425225882612,0.7133031738784577,0.9025232501776794,1.0
CIDP_vs_CIAP,Repair_damage_SC,Complement,9,10,0.0782843792576454,0.07388655500125992,0.004397824256385491,0.8382564863858263,0.9025232501776794,1.0
CIDP_vs_CIAP,Repair_damage_SC,Fc_receptor,9,10,0.06141288326096744,0.06062442856290275,0.0007884546980646834,0.9025232501776794,0.9025232501776794,1.0
CIDP_vs_CIAP,Repair_damage_SC,Macrophage_state,9,10,0.16468662924448396,0.10526990767554915,0.05941672156893481,0.7750513736700824,0.9025232501776794,1.0
CIDP_vs_CIAP,Repair_damage_SC,Schwann_myelin_repair,9,10,0.04548572435745173,-0.01183042126958954,0.05731614562704127,0.3912672792826394,0.9025232501776794,1.0
