disease,cell_group,gene,n_samples,mean_log2cpm,median_log2cpm,panels
CIDP,Myelinating_SC,IL6ST,9,7.700690624609289,7.730924285172018,['LIF_LIFR']
CIDP,Myelinating_SC,JUN,9,4.750715893162019,4.4826227482518055,['Schwann_myelin_repair']
CIDP,Myelinating_SC,LIFR,9,5.623635458290868,5.259990776057754,['LIF_LIFR']
CIDP,Myelinating_SC,MPZ,9,12.095332238403673,12.24603689268046,['Schwann_myelin_repair']
CIDP,Myelinating_SC,OSMR,9,4.390956079811921,4.522660761721366,['LIF_LIFR']
CIDP,Myelinating_SC,SOX10,9,6.873558347006667,7.011093273163045,['Schwann_myelin_repair']
CIDP,Myelinating_SC,VCAM1,9,-0.416642593051842,-1.0,['Leukocyte_transmigration']
CIDP,Nonmyelinating_SC,C3,9,1.6304676692049245,1.6271978415748918,['Complement']
CIDP,Nonmyelinating_SC,C3AR1,9,0.0144483666326249,-0.1091653661182411,['Complement']
CIDP,Nonmyelinating_SC,CLDN5,9,0.6945874520070648,0.1982188288439392,['BNB_identity_integrity']
CIDP,Nonmyelinating_SC,CXCL8,9,-0.5190123908454972,-0.5026068877359483,['CXCL8_CXCR1_2']
CIDP,Nonmyelinating_SC,FCGR2A,9,1.3817178915581103,1.5641700854903398,['Fc_receptor']
CIDP,Nonmyelinating_SC,ICAM1,9,1.3966218514058115,1.487474817469525,['Leukocyte_transmigration']
CIDP,Nonmyelinating_SC,IL6ST,9,7.274444139268635,7.25849159496803,['LIF_LIFR']
CIDP,Nonmyelinating_SC,JUN,9,5.558036522332788,5.420737992615036,['Schwann_myelin_repair']
CIDP,Nonmyelinating_SC,LIFR,9,5.343076632546835,5.389772807960051,['LIF_LIFR']
CIDP,Nonmyelinating_SC,MPZ,9,8.92866581303366,8.804083735724923,['Schwann_myelin_repair']
CIDP,Nonmyelinating_SC,OSMR,9,6.973462418992206,6.8668414087233165,['LIF_LIFR']
CIDP,Nonmyelinating_SC,SOX10,9,7.981625944330822,7.868993697163452,['Schwann_myelin_repair']
CIDP,Nonmyelinating_SC,VCAM1,9,0.0271231058507041,-0.0027993142321527,['Leukocyte_transmigration']
CIDP,Repair_damage_SC,C3,9,2.1122355842446665,2.8433826516845864,['Complement']
CIDP,Repair_damage_SC,C3AR1,9,-0.0635002108537334,-1.0,['Complement']
CIDP,Repair_damage_SC,CLDN5,9,2.295850975138563,2.070161374896724,['BNB_identity_integrity']
CIDP,Repair_damage_SC,CXCL8,9,-0.7525121833438972,-1.0,['CXCL8_CXCR1_2']
CIDP,Repair_damage_SC,FCGR2A,9,1.636022887378464,2.096172900873893,['Fc_receptor']
CIDP,Repair_damage_SC,ICAM1,9,0.4570494544401204,0.8672180577447699,['Leukocyte_transmigration']
CIDP,Repair_damage_SC,IL6ST,9,7.083800950009695,7.181584825634048,['LIF_LIFR']
CIDP,Repair_damage_SC,JUN,9,6.17286945619681,6.047827390510128,['Schwann_myelin_repair']
CIDP,Repair_damage_SC,LIFR,9,6.684961234462588,6.980636488859317,['LIF_LIFR']
CIDP,Repair_damage_SC,MPZ,9,7.264382122588661,6.963457948508724,['Schwann_myelin_repair']
CIDP,Repair_damage_SC,OSMR,9,5.387910964896013,5.38110636273541,['LIF_LIFR']
CIDP,Repair_damage_SC,SOX10,9,7.701483748292408,7.641850657615091,['Schwann_myelin_repair']
CIDP,Repair_damage_SC,VCAM1,9,0.1036867873010172,-1.0,['Leukocyte_transmigration']
