program,summary_hedges_g,ci_low,ci_high,hartung_knapp_p,I2_percent,n_cohorts
CXCL8–CXCR1/2,1.1823448944061157,-0.0296640438256023,2.394353832637834,0.053106425422635,0.0,4.0
Inflammatory monocyte,1.0089976494861457,-0.4204300217187939,2.438425320691085,0.1103041952568914,26.44657844448114,4.0
Complement,0.764047556000862,-1.130746347726673,2.6588414597283974,0.2895451123989972,56.50088780738586,4.0
Transendothelial migration,0.6524354644411197,-0.4688272150698607,1.7736981439521,0.1611381795677118,0.0,4.0
Interferon/JAK–STAT,0.5768474169422834,-0.5310843566705489,1.6847791905551155,0.196108169147428,0.0,4.0
LIF/OSM–gp130,0.3258796050665575,-2.0327587043896296,2.684517914522745,0.6899019522791796,72.26498853402063,4.0
Fc receptor,0.2021980292259066,-2.110012164711985,2.5144082231637985,0.7988625849156857,65.83934643645162,4.0
