gene,evidence_tier,modality,tractability_bucket,supported,drug_or_clinical_candidate_count,source,retrieval_date
GNG7,CIDP,OC,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,OC,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
GNG7,CIDP,OC,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000176533,2026-08-31
SLC39A3,CIDP,SM,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,Structure with Ligand,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,High-Quality Ligand,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,High-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,Med-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,SM,Druggable Family,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,UniProt loc high conf,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,GO CC high conf,true,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,UniProt loc med conf,true,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,UniProt SigP or TMHMM,true,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,GO CC med conf,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,AB,Human Protein Atlas loc,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Literature,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,UniProt Ubiquitination,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Database Ubiquitination,true,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Half-life Data,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,PR,Small Molecule Binder,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,OC,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,OC,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
SLC39A3,CIDP,OC,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000141873,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Structure with Ligand,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,High-Quality Ligand,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,High-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Med-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
DGKQ,Inflammatory_polyneuropathy,SM,Druggable Family,false,0,https://platform.opentargets.org/target/ENSG00000145214,2026-08-31
