Program,Summary Hedges g,95% CI low,95% CI high,Hartung–Knapp P,Tau²,I² (%),Cohorts,Positive cohorts,Direction concordance,Interpretation
CXCL8–CXCR1/2,1.0754220406032644,-0.6339919104447369,2.7848359916512657,0.11367468105833274,0,0,3,3,1,Directionally consistent
LIF/OSM–gp130,0.27059888773987756,-3.977856729961375,4.51905450544113,0.8097558572935876,2.3521472412876254,81.20778375594783,3,1,0.3333333333333333,Mixed directions
Complement,1.111222965183466,-1.7275700525338344,3.9500159829007666,0.23417256986930074,0.7461252411908608,57.24296005650375,3,3,1,Directionally consistent
Fc receptor,0.28793820651722357,-5.510022204904895,6.085898617939342,0.8506023424654652,1.7198840933759252,72.7064130350303,3,2,0.6666666666666666,Mixed directions
Transendothelial migration,0.6944453044375707,-0.9583258894453182,2.3472164983204595,0.21236328067857077,0.005097756013794119,1.081249948195413,3,2,0.6666666666666666,Mixed directions
Interferon/JAK–STAT,0.6769628636005247,-0.9434142114459625,2.2973399386470117,0.2140725554229754,0,0,3,2,0.6666666666666666,Mixed directions
Inflammatory monocyte,1.0258324150284037,-1.7020914403430638,3.7537562703998715,0.24706762380051972,0.5235886456532745,49.50919507286133,3,2,0.6666666666666666,Mixed directions
