comparison,cell_group,panel,n_case,n_reference,mean_z_case,mean_z_reference,delta_mean_z,p_value,fdr_within_celltype_comparison
CIDP_vs_CIAP,Macrophage,BNB_identity_integrity,9,11,0.1042285005758767,0.0500626378886057,0.0541658626872709,0.648503379652976,0.9394400080349974
CIDP_vs_CIAP,Macrophage,Leukocyte_transmigration,9,11,-0.1680079568841136,0.1772057311682146,-0.3452136880523282,0.0185134737753539,0.0740538951014156
CIDP_vs_CIAP,Macrophage,CXCL8_CXCR1_2,9,11,0.0370083885031408,0.1516144959023583,-0.1146061073992174,0.8790477722505494,0.9394400080349974
CIDP_vs_CIAP,Macrophage,LIF_LIFR,9,11,-0.0052959210409895,-0.0098030852590772,0.0045071642180877,0.9394400080349974,0.9394400080349974
CIDP_vs_CIAP,Macrophage,Complement,9,11,-0.1522857303404053,-0.0429192185498081,-0.1093665117905972,0.8197075378297883,0.9394400080349974
CIDP_vs_CIAP,Macrophage,Fc_receptor,9,11,-0.4116770666748427,0.2611901064561218,-0.6728671731309646,0.001087436576734,0.0086994926138723
CIDP_vs_CIAP,Macrophage,Macrophage_state,9,11,-0.2084054766791021,0.1597570624344982,-0.3681625391136003,0.033398146339218,0.089061723571248
CIDP_vs_CIAP,Macrophage,Schwann_myelin_repair,9,11,-0.0143612427109814,0.0752888884310433,-0.0896501311420248,0.5948534237883254,0.9394400080349974
CIDP_vs_CIAP,T_NK,BNB_identity_integrity,9,11,-0.0232569522456142,0.0263057913925018,-0.049562743638116,0.9394400080349974,0.9394400080349974
CIDP_vs_CIAP,T_NK,Leukocyte_transmigration,9,11,-0.139248544587776,0.1077934119257524,-0.2470419565135285,0.0805687565356306,0.6445500522850454
CIDP_vs_CIAP,T_NK,CXCL8_CXCR1_2,9,11,0.2892005887045745,-0.0278187758872787,0.3170193645918532,0.330002503363866,0.9394400080349974
CIDP_vs_CIAP,T_NK,LIF_LIFR,9,11,-0.1068379049454062,-0.1801916110582491,0.0733537061128429,0.5948534237883254,0.9394400080349974
CIDP_vs_CIAP,T_NK,Complement,9,11,-0.038532478389467,0.0739856993050105,-0.1125181776944776,0.4941245444092638,0.9394400080349974
CIDP_vs_CIAP,T_NK,Fc_receptor,9,11,0.05846580479375,0.0328904953424671,0.0255753094512828,0.4033175651094832,0.9394400080349974
CIDP_vs_CIAP,T_NK,Macrophage_state,9,11,0.0558110119825228,0.059024425821878,-0.0032134138393551,0.9394400080349974,0.9394400080349974
CIDP_vs_CIAP,T_NK,Schwann_myelin_repair,9,11,0.0022680527629627,0.0948962890334773,-0.0926282362705145,0.8197075378297883,0.9394400080349974
CIDP_vs_CIAP,BNB_EC,BNB_identity_integrity,9,11,-0.1684874889704785,0.2353887016495928,-0.4038761906200714,0.0275779915633285,0.2206239325066281
CIDP_vs_CIAP,BNB_EC,Leukocyte_transmigration,9,11,-0.0908425248099916,-0.0086220379363893,-0.0822204868736022,0.4474117020093185,0.7905992710548221
CIDP_vs_CIAP,BNB_EC,CXCL8_CXCR1_2,9,11,0.0904233311631933,0.1144776855374634,-0.02405435437427,0.440257435859737,0.7905992710548221
CIDP_vs_CIAP,BNB_EC,LIF_LIFR,9,11,-0.0251248595053679,-0.0787494072230562,0.0536245477176883,0.7612079858009609,1
CIDP_vs_CIAP,BNB_EC,Complement,9,11,0.041434206158379,-0.0730924755523879,0.1145266817107669,0.4941245444092638,0.7905992710548221
CIDP_vs_CIAP,BNB_EC,Fc_receptor,9,11,-0.0111805592635,0.1805466443046274,-0.1917272035681275,0.3619347669211923,0.7905992710548221
CIDP_vs_CIAP,BNB_EC,Macrophage_state,9,11,-0.0343607564023483,0.090983156670139,-0.1253439130724874,1,1
CIDP_vs_CIAP,BNB_EC,Schwann_myelin_repair,9,11,0.0036036582985306,-0.0024096695918524,0.006013327890383,1,1
CIDP_vs_CIAP,Other_EC,BNB_identity_integrity,9,11,-0.0494387345349891,0.0373839964914021,-0.0868227310263913,0.8197075378297883,1
CIDP_vs_CIAP,Other_EC,Leukocyte_transmigration,9,11,-0.0772724006314986,0.0800837226251307,-0.1573561232566294,0.3619347669211923,0.9651593784565128
CIDP_vs_CIAP,Other_EC,CXCL8_CXCR1_2,9,11,0.1127362848118094,0.0712689768195282,0.0414673079922811,0.7314673432614722,1
CIDP_vs_CIAP,Other_EC,LIF_LIFR,9,11,0.0689511228799928,-0.1227561514548831,0.191707274334876,0.0946383952870955,0.6858408242573093
CIDP_vs_CIAP,Other_EC,Complement,9,11,0.0678686263043775,0.0529122165709218,0.0149564097334556,1,1
CIDP_vs_CIAP,Other_EC,Fc_receptor,9,11,0.025688730112901,0.35002969603529,-0.324340965922389,0.1714602060643273,0.6858408242573093
CIDP_vs_CIAP,Other_EC,Macrophage_state,9,11,0.1536568380712422,0.0765149728973024,0.0771418651739398,1,1
CIDP_vs_CIAP,Other_EC,Schwann_myelin_repair,9,11,-0.0304171546411083,0.062195532037297,-0.0926126866784054,0.9394400080349974,1
CIDP_vs_CIAP,Pericyte,BNB_identity_integrity,9,11,0.2376394356599769,-0.0782782682951987,0.3159177039551756,0.3619347669211923,1
CIDP_vs_CIAP,Pericyte,Leukocyte_transmigration,9,11,0.1292401706359439,0.002758999770424,0.1264811708655199,0.7040429655866594,1
CIDP_vs_CIAP,Pericyte,CXCL8_CXCR1_2,9,11,0.0174071657566491,0.1862665362783374,-0.1688593705216883,0.8190376879405,1
CIDP_vs_CIAP,Pericyte,LIF_LIFR,9,11,0.0396822940103071,-0.2071379822809999,0.2468202762913071,0.1965119202345007,1
CIDP_vs_CIAP,Pericyte,Complement,9,11,0.0897665015959765,0.0202262406290542,0.0695402609669222,0.9394400080349974,1
CIDP_vs_CIAP,Pericyte,Fc_receptor,9,11,0.2013157162475438,0.2205159080089503,-0.0192001917614065,1,1
CIDP_vs_CIAP,Pericyte,Macrophage_state,9,11,0.2831799272985596,0.1297780733823766,0.1534018539161829,0.5433269342132927,1
CIDP_vs_CIAP,Pericyte,Schwann_myelin_repair,9,11,-0.0075460109194338,-0.0011011120280798,-0.006444898891354,1,1
CIDP_vs_CIAP,Perineurium,BNB_identity_integrity,9,11,0.2815973884491039,-0.172942347886359,0.4545397363354629,0.1286431389530742,0.1701479927993933
CIDP_vs_CIAP,Perineurium,Leukocyte_transmigration,9,11,0.0967174375652229,-0.1683197092541765,0.2650371468193995,0.0682474883780012,0.109195981404802
