cell_group,panel,n_case,n_reference,delta_mean_z,p_value,fdr_within_celltype_comparison
Nonmyelinating_SC,LIF_LIFR,9,11,-0.18227772894298994,0.09463839528709553,0.7571071622967642
Nonmyelinating_SC,Complement,9,11,-0.015033520208563307,0.8792283946861903,1.0
Nonmyelinating_SC,Fc_receptor,9,11,-0.14146742882258947,0.9394400080349974,1.0
Nonmyelinating_SC,Macrophage_state,9,11,0.045915963676798885,0.9394400080349974,1.0
Nonmyelinating_SC,Schwann_myelin_repair,9,11,0.021373709819684665,0.9394400080349974,1.0
Repair_damage_SC,BNB_identity_integrity,9,10,0.18032941850443698,0.48766835345893045,0.9025232501776794
Repair_damage_SC,Leukocyte_transmigration,9,10,-0.13872300091769244,0.23644471557230384,0.9025232501776794
Repair_damage_SC,CXCL8_CXCR1_2,9,10,-0.4493690449211143,0.257620539316171,0.9025232501776794
Repair_damage_SC,LIF_LIFR,9,10,0.0665942522588261,0.7133031738784577,0.9025232501776794
Repair_damage_SC,Complement,9,10,0.004397824256385477,0.8382564863858263,0.9025232501776794
Repair_damage_SC,Fc_receptor,9,10,0.0007884546980647181,0.9025232501776794,0.9025232501776794
Repair_damage_SC,Macrophage_state,9,10,0.05941672156893481,0.7750513736700824,0.9025232501776794
Repair_damage_SC,Schwann_myelin_repair,9,10,0.05731614562704125,0.3912672792826394,0.9025232501776794
