program,gene,original_gene_id,sample,preparation,fpkm,source_url,plotted_log2_fpkm_plus_1
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,P3pHEnd_EC,Cultured endothelial cells,308.62,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,8.27435485560099
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,P8_pHEnd_EC_basal,Cultured endothelial cells,415.48,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,8.702103406629387
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,32P1,Laser captured normal microvessels,2.57,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,1.835924074254375
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,203P1,Laser captured normal microvessels,11.13,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,3.6005076453457856
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,346P1,Laser captured normal microvessels,15.42,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,4.03738222200308
Endothelial junctions,CLDN5,ENSG00000184113.9_2_CLDN5,347P1,Laser captured normal microvessels,41.71,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,5.416501992867417
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,P3pHEnd_EC,Cultured endothelial cells,1.83,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,1.5008020530571577
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,P8_pHEnd_EC_basal,Cultured endothelial cells,1.06,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,1.0426443374084937
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,32P1,Laser captured normal microvessels,9.53,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,3.396433531250992
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,203P1,Laser captured normal microvessels,41.89,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,5.422569410860832
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,0.0
Endothelial junctions,OCLN,ENSG00000197822.10_1_OCLN,347P1,Laser captured normal microvessels,13.97,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,3.904002316283692
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,P3pHEnd_EC,Cultured endothelial cells,38.55,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,5.305605789585429
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,P8_pHEnd_EC_basal,Cultured endothelial cells,26.74,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,4.7938958825488776
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,32P1,Laser captured normal microvessels,59.69,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,5.9233869155047145
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,203P1,Laser captured normal microvessels,208.4,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,7.710117632043446
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,346P1,Laser captured normal microvessels,15.33,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,4.02945288578697
Endothelial junctions,TJP1,ENSG00000104067.16_2_TJP1,347P1,Laser captured normal microvessels,70.31,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,6.156032498888866
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,P3pHEnd_EC,Cultured endothelial cells,330.15,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,8.371341048005844
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,P8_pHEnd_EC_basal,Cultured endothelial cells,350.08,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,8.455656002220499
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,32P1,Laser captured normal microvessels,22.05,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,4.526694845541976
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,203P1,Laser captured normal microvessels,28.87,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,4.900625332536066
Endothelial junctions,CDH5,ENSG00000179776.17_2_CDH5,346P1,Laser captured normal microvessels,3.29,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz,2.1009776477248208
