protein,contrast,cohort,beta,se,source_p,source_q,n_case,n_reference,source_table,availability,specimen,scale,adjustment,source_url,verification_date,normal_ci_low,normal_ci_high,interval_method,shared_participants,orange_source_q_below_05
IL8,CIDP versus HC,Replication,1.13,0.181,0.0004,0.0081,6,6,3,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.7752465187982501,1.4847534812017495,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,True
MMP3,CIDP versus HC,Replication,0.57,0.238,0.0477,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1035285716794671,1.0364714283205327,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
THBD,CIDP versus HC,Replication,1.04,0.397,0.0341,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.2618942981375985,1.8181057018624016,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
IL2RA,CIDP versus HC,Replication,1.16,0.458,0.0387,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.2623364950806551,2.057663504919345,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
CR2,CIDP versus HC,Replication,0.893,0.493,0.113,0.315,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,-0.0732622443782465,1.8592622443782467,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
CD1C,CIDP versus HC,Replication,0.765,0.303,0.0396,0.181,6,6,6,reported,CSF,log2 NPX,Age sex and CCL19 sample handling marker,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1241199/full,2026-09-21,0.1711309126843636,1.3588690873156364,Normal approximation from printed SE. Source P and q retained separately.,Overlapping contrasts in the same replication cohort. Not pooled together.,False
