cell_group,program,model,genes_planned,genes_used,n_case,n_reference,mean_case,mean_reference,p_mannwhitney,delta,se,ci_low,ci_high,p_hc3,residual_df,estimable,q_bh_9,q_bh_89,q_bh_91,q_bh_9_hc3
Myelinating_SC,Myelin maintenance,Unadjusted,6.0,6.0,9.0,10.0,-0.1227486167596769,0.1104737550837109,0.7750513736700824,-0.2332223718433878,0.3050297112178682,-0.8767788082728438,0.4103340645860682,0.4549994648422213,17,True,0.9394400080349974,1.0,1.0,
Myelinating_SC,Injury response,Unadjusted,6.0,6.0,9.0,10.0,0.0719292985464316,-0.0647363686917891,0.7750513736700824,0.1366656672382207,0.3266740366222557,-0.5525563041011052,0.8258876385775469,0.6809250179575846,17,True,0.9394400080349974,1.0,1.0,
Nonmyelinating_SC,Myelin maintenance,Unadjusted,6.0,6.0,9.0,11.0,0.035413686621479,-0.0289748345084812,0.9394400080349974,0.0643885211299604,0.3310692622559469,-0.6311621887898989,0.7599392310498198,0.8479731162824377,18,True,0.9394400080349974,1.0,1.0,
Nonmyelinating_SC,Injury response,Unadjusted,6.0,6.0,9.0,11.0,-0.0145253080148846,0.0118843429212682,0.8792283946861903,-0.0264096509361528,0.3691300984502264,-0.8019232104865777,0.7491039086142721,0.943752455450506,18,True,0.9394400080349974,1.0,1.0,
Repair_damage_SC,Myelin maintenance,Unadjusted,6.0,6.0,9.0,10.0,0.1976770826671217,-0.1779093744004089,0.1779095949869824,0.3755864570675307,0.2616483464591981,-0.1764433002064139,0.9276162143414752,0.1692995932202255,17,True,0.800593177441421,0.7916976976920719,0.8094886571907699,
Repair_damage_SC,Injury response,Unadjusted,6.0,6.0,9.0,10.0,-0.1318953945062754,0.1187058550556485,0.6533789106936937,-0.2506012495619238,0.3360230580539463,-0.9595479319553284,0.4583454328314805,0.4659847539773848,17,True,0.9394400080349974,1.0,1.0,
Myelinating_SC,Myelin maintenance,Age and centre,,,,,,,,-0.2895601783763512,0.5794667930499601,-1.5323928422003266,0.953272485447624,0.6250470981833732,14,True,,,,0.8036319833786226
Myelinating_SC,Injury response,Age and centre,,,,,,,,0.6187295990038967,0.5351841114282925,-0.5291261587726236,1.7665853567804168,0.2669863231972422,14,True,,,,0.6007192271937951
Nonmyelinating_SC,Myelin maintenance,Age and centre,,,,,,,,0.2750624892204297,0.4057317304641634,-0.5897342232965928,1.1398592017374525,0.5081321466984593,15,True,,,,0.762198220047689
Nonmyelinating_SC,Injury response,Age and centre,,,,,,,,0.1391910531128484,0.6168735361747382,-1.1756437652346492,1.454025871460346,0.8245272850035871,15,True,,,,0.8930919339787139
Repair_damage_SC,Myelin maintenance,Age and centre,,,,,,,,0.5172534986126387,0.4194108324767952,-0.3822932716521158,1.416800268877393,0.2377756380942589,14,True,,,,0.6007192271937951
Repair_damage_SC,Injury response,Age and centre,,,,,,,,-0.4345604364435828,0.3030165462535826,-1.0844662910670964,0.2153454181799307,0.1734972613087672,14,True,,,,0.6007192271937951
