analysis,delta,se_hc3,ci_low,ci_high,p_hc3,residual_df,n,n_case,n_reference,p_mannwhitney,mean_case,mean_reference,covariates,p_primary,permutations,model,pc1_variance_fraction,pc2_variance_fraction,n_composition_categories
All donors,-0.6728671731309643,0.1722333449864481,-1.0347160036774317,-0.3110183425844971,0.001033822565683,18.0,20,9.0,11.0,0.001087436576734,-0.4116770666748425,0.2611901064561218,none,0.001087436576734,,,,,
Male donors,-0.6868612898008715,0.171483872519175,-1.0546576167725918,-0.3190649628291512,0.0013021914187492,14.0,16,9.0,7.0,0.0006993006993006,-0.4116770666748425,0.2751842231260289,none,0.0006993006993006,,,,,
Standardisation in CIDP and CIAP only,-0.6285336831572076,0.1625544865624503,-0.9700479867163252,-0.28701937959809,0.0011304995236335,18.0,20,9.0,11.0,0.001087436576734,-0.3456935257364644,0.2828401574207432,none,0.001087436576734,,,,,
Age and center,-0.6895951189664895,0.1645140872102914,-1.0402485953890466,-0.3389416425439325,0.0007859582828343,15.0,20,9.0,11.0,,,,"age, center",0.0007859582828343,,,,,
"Age, center and sex",-0.718480935043079,0.167290421749486,-1.0772832046275316,-0.3596786654586263,0.0007409441359815,14.0,20,9.0,11.0,,,,"age, center, sex",0.0007409441359815,,,,,
"Age, center and composition",-0.3097923409951747,0.3372279717448552,-1.0383290812352797,0.4187443992449302,0.3750123099272261,13.0,20,,,,,,,,,"Age, center and two composition principal components",0.226937842250946,0.2050713955783131,32.0
