comparison,cell_group,panel,n_case,n_reference,mean_z_case,mean_z_reference,delta_mean_z,p_value,fdr_within_celltype_comparison,q_bh_91
CIDP_vs_CIAP,Perineurium,Leukocyte_transmigration,9,11,0.0967174375652229,-0.1683197092541765,0.2650371468193995,0.0682474883780012,0.109195981404802,0.6210521442398108
CIDP_vs_CIAP,Perineurium,CXCL8_CXCR1_2,9,11,0.003178044241381,-0.3337977705461719,0.336975814787553,0.1708155478642553,0.1708155478642553,0.8094886571907699
CIDP_vs_CIAP,Perineurium,LIF_LIFR,9,11,0.0956469020054081,-0.2545212802689205,0.3501681822743286,0.0575194003956383,0.109195981404802,0.6210521442398108
CIDP_vs_CIAP,Perineurium,Complement,9,11,0.0608915508036461,-0.2866726225746868,0.3475641733783329,0.033398146339218,0.109195981404802,0.434175902409834
CIDP_vs_CIAP,Perineurium,Fc_receptor,9,11,0.238750650344345,-0.2240042079513778,0.4627548582957228,0.1488794936994691,0.1701479927993933,0.7969431721559816
CIDP_vs_CIAP,Perineurium,Macrophage_state,9,11,0.380593943571709,-0.3776028017350074,0.7581967453067164,0.0226544940800893,0.109195981404802,0.434175902409834
CIDP_vs_CIAP,Perineurium,Schwann_myelin_repair,9,11,0.1398024571363789,-0.2254368279579037,0.3652392850942827,0.0682474883780012,0.109195981404802,0.6210521442398108
CIDP_vs_CIAP,Myelinating_SC,BNB_identity_integrity,9,10,-0.0585795791214244,0.0558454052301172,-0.1144249843515416,0.5402913746074198,0.9580074130123728,1.0
CIDP_vs_CIAP,Myelinating_SC,Leukocyte_transmigration,9,10,0.0745307313123695,-0.0097530096443028,0.0842837409566723,0.6533789106936937,0.9580074130123728,1.0
CIDP_vs_CIAP,Myelinating_SC,CXCL8_CXCR1_2,9,10,-0.0104466992935547,-0.1257355603108408,0.1152888610172861,0.960535300044334,0.960535300044334,1.0
CIDP_vs_CIAP,Myelinating_SC,LIF_LIFR,9,10,0.0847197550226259,-0.1222427745777434,0.2069625296003694,0.5402913746074198,0.9580074130123728,1.0
CIDP_vs_CIAP,Myelinating_SC,Complement,9,10,0.1201653929985803,0.0576167051096975,0.0625486878888828,0.7750513736700824,0.9580074130123728,1.0
