disease,n,mean_score,sd_score,median_score,min_score,max_score,mean_age,n_male,nuclei_min,nuclei_max
CIAP,11,0.2611901064561218,0.2276378425452742,0.2844118607180638,-0.20148218921230984,0.5989802866730067,60.0,7,184,526
CIDP,9,-0.41167706667484255,0.4425600649796966,-0.2529779570362043,-1.1641932641924813,0.08145825935679131,61.77777777777778,9,43,1047
CTRL,4,-0.010289059227010395,0.4663360529634925,-0.10020307515831874,-0.46840228020138724,0.6276521936099831,49.25,1,75,603
