case,reference,n_case,n_reference,mean_case,mean_reference,delta,bootstrap_low,bootstrap_high,p_mannwhitney_exact,p_mannwhitney_original_method,role,q_bh_two_reference_tests,q_bh_91
CIDP,CIAP,9,11,-0.41167706667484255,0.26119010645612184,-0.6728671731309643,-0.9872552482705683,-0.37525432719110613,0.00035722791140747797,0.0010874365767340446,Prior contrast,,0.09895672848279399
CIDP,CTRL,9,4,-0.41167706667484255,-0.010289059227010395,-0.40138800744783215,-0.9009438792987424,0.049874428854876696,0.3300699300699301,0.3300699300699301,Exploratory graft reference comparison,0.34285714285714286,1.0
CIAP,CTRL,11,4,0.26119010645612184,-0.010289059227010395,0.27147916568313224,-0.17059466677769491,0.6520777980638668,0.34285714285714286,0.34285714285714286,Exploratory graft reference comparison,0.34285714285714286,1.0
